Node                                                                              | Description                                                                                                        | Type   | Player default | OP default     | Variants                                                                                                                                    
serverutilities.other_player.claims.unclaim                                       | Allow player to unclaim other team chunks                                                                          | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.claims.unload                                        | Allow player to unload other team chunks                                                                           | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.heal                                                 | Allow to heal other players                                                                                        | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.homes.list                                           | Allow to list other people homes                                                                                   | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.other_player.homes.teleport                                       | Allow to teleport to other people homes                                                                            | bool   | false          | true           | [true, false]                                                                                                                               
serverutilities.rtp.cooldown                                                      | /rtp Cooldown Timer                                                                                                | timer  | 10m            | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.rtp.warmup                                                        | permission.serverutilities.rtp.warmup                                                                              | timer  | 5s             | 0s             | [0s to 1m]                                                                                                                                  
serverutilities.spawn.cooldown                                                    | /spawn Cooldown Timer                                                                                              | timer  | 1m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.spawn.warmup                                                      | /spawn Warmup Timer                                                                                                | timer  | 5s             | 0s             | [0s to 1m]                                                                                                                                  
serverutilities.tpa.cooldown                                                      | /tpa Cooldown Timer                                                                                                | timer  | 3m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.tpa.cross_dim                                                     | Can use /tpa to teleport to/from another dimension                                                                 | bool   | true           | true           | [true, false]                                                                                                                               
serverutilities.tpa.warmup                                                        | /tpa Warmup Timer                                                                                                  | timer  | 5s             | 0s             | [0s to 1m]                                                                                                                                  
serverutilities.warps.cooldown                                                    | /warp Cooldown Timer                                                                                               | timer  | 1m             | 0s             | [0s to ∞]                                                                                                                                   
serverutilities.warps.warmup                                                      | /warp Warmup Timer                                                                                                 | timer  | 5s             | 0s             | [0s to 1m]                                                                                                                                  

Command Permissions
Node                                                            | Command                                | Default Permission | Usage                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
                                                                |                                        |                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.achievement                                             | /achievement                           | OP                 | /achievement give <stat_name> [player]                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.angermod.angerprotection                                | /angerprotection                       | Strong OP          | angerprotection <Player> give/remove                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.AppleCore.hunger                                        | /hunger                                | Strong OP          | /hunger [player] <value>                                                                                                                                                                                                                                                                                                                                                                                                                                                         
command.appliedenergistics2.ae2                                 | /ae2                                   | ALL                | Commands provided by Applied Energistics 2 - use /ae2 list for a list, and /ae2 help _____ for help with a command.                                                                                                                                                                                                                                                                                                                                                              
command.archaicfix.debugupdatequeue                             | /debugupdatequeue                      | Strong OP          | /debugupdatequeue                                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.Automagy.automagy                                       | /automagy                              | OP                 | /automagy scanneditem <player> reset <held|ALL>                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.AWWayofTime./bloodmagic                                 | //bloodmagic                           | Strong OP          | /bloodmagic help                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
command.bartworks.bwcfg                                         | /bwcfg                                 | Strong OP          | bwcfg <NameOfVariable> <newValue>                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.bartworks.bwclr                                         | /bwclr                                 | Strong OP          | bwclr                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
command.bartworks.bwgc                                          | /bwgc                                  | Strong OP          | bwgc                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.bartworks.bwgwd                                         | /bwgwd                                 | Strong OP          | bwgwd                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
command.bartworks.prltf                                         | /prltf                                 | Strong OP          | prltf <FilePath>                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
command.bartworks.SummonRuin                                    | /SummonRuin                            | Strong OP          | SummonRuin <x> <z>                                                                                                                                                                                                                                                                                                                                                                                                                                                               
command.battlegear2.weaponwield                                 | /weaponwield                           | Strong OP          | /weaponwield current <hand> [player] [usage] OR /weaponwield name <hand> <item name> [usage] OR /weaponwield sensitivity <add|remove|get> <ore|type|id|damage|nbt>                                                                                                                                                                                                                                                                                                               
command.bdlib.dumpregistry                                      | /dumpregistry                          | OP                 | dumpregistry                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.bdlib.oredistribution                                   | /oredistribution                       | OP                 | /oredistribution <radius> [<min height>] [<max height>] [--file]                                                                                                                                                                                                                                                                                                                                                                                                                 
command.berriespp.cropsDebug                                    | /cropsDebug                            | Strong OP          | /cropsDebug [on/true|off/false|toggle]                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.betterbuilderswands.wandOops                            | /wandOops                              | ALL                | /wandOops                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.betterquesting.bq_admin                                 | /bq_admin                              | OP                 | /bq_admin edit [true|false], /bq_admin hardcore [true|false], /bq_admin reset [all|<quest_id>] [username|uuid], /bq_admin complete <quest_id> [username|uuid], /bq_admin delete [all|<quest_id>], /bq_admin default [save|savelegacy|load|set|exportlang] [file_name], /bq_admin lives [add|set|max|default] <value> [username|uuid], /bq_admin purge_hidden_quests, /bq_admin check <username|uuid> <quest_id>, /bq_admin check_all <username|uuid>, /bq_admin cleanup_questline
command.betterquesting.bq_copyquests                            | /bq_copyquests                         | OP                 | /bq_copyquests <toPlayer> |OR| /bq_copyquests <fromPlayer> <toPlayer>                                                                                                                                                                                                                                                                                                                                                                                                            
command.betterquesting.bq_user                                  | /bq_user                               | ALL                | /bq_user help, /bq_user refresh, /bq_user hardcore                                                                                                                                                                                                                                                                                                                                                                                                                               
command.betterquesting.bqs_loot                                 | /bqs_loot                              | OP                 | /bqs_loot default [save|load], /bqs_loot delete [all|<loot_id>]                                                                                                                                                                                                                                                                                                                                                                                                                  
command.blocklimiter.blimit                                     | /blimit                                | Strong OP          | /blimit reload|blockinfo|iteminfo                                                                                                                                                                                                                                                                                                                                                                                                                                                
command.Botania.botania-open                                    | /botania-open                          | ALL                | <entry>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.Botania.botania-share                                   | /botania-share                         | ALL                | <entry>                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.BuildCraft|Core.buildcraft                              | /buildcraft                            | ALL                | /buildcraft help                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
command.clear                                                   | /clear                                 | OP                 | /clear <player> [item] [data]                                                                                                                                                                                                                                                                                                                                                                                                                                                    
command.CoFHCore.cofh                                           | /cofh                                  | ALL                | /cofh help                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
command.debug                                                   | /debug                                 | Strong OP          | /debug <start|stop>                                                                                                                                                                                                                                                                                                                                                                                                                                                              
command.defaultgamemode                                         | /defaultgamemode                       | OP                 | /defaultgamemode <mode>                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.difficulty                                              | /difficulty                            | OP                 | /difficulty <new difficulty>                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.dreamcraft.customdrops                                  | /customdrops                           | Strong OP          | /customdrops reload|toggleinfo                                                                                                                                                                                                                                                                                                                                                                                                                                                   
command.dreamcraft.customfuels                                  | /customfuels                           | Strong OP          | /customfuels reload                                                                                                                                                                                                                                                                                                                                                                                                                                                              
command.dreamcraft.customtooltips                               | /customtooltips                        | Strong OP          | /customtooltips reload                                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.dreamcraft.hazarditems                                  | /hazarditems                           | Strong OP          | /hazarditems <action> [<parm1>, <parm2>, ..]                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.dreamcraft.iteminhand                                   | /iteminhand                            | Strong OP          | /iih                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.DummyCore.DummyCore.Transfer                            | /DummyCore.Transfer                    | Strong OP          | /DummyCore.Transfer <player> <dimensionID>                                                                                                                                                                                                                                                                                                                                                                                                                                       
command.effect                                                  | /effect                                | OP                 | /effect <player> <effect> [seconds] [amplifier]                                                                                                                                                                                                                                                                                                                                                                                                                                  
command.EMT.emt_outputs                                         | /emt_outputs                           | Strong OP          | /emt_outputs                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.enchant                                                 | /enchant                               | OP                 | /enchant <player> <enchantment ID> [level]                                                                                                                                                                                                                                                                                                                                                                                                                                       
command.endercore.scoreboardinfo                                | /scoreboardinfo                        | ALL                | /scoreboardinfo <board> <name>                                                                                                                                                                                                                                                                                                                                                                                                                                                   
command.EnderStorage.enderstorage                               | /enderstorage                          | Strong OP          | enderstorage <freq>|(<colour> <colour> <colour>) [owner]                                                                                                                                                                                                                                                                                                                                                                                                                         
command.enhancedlootbags.lootbags                               | /lootbags                              | Strong OP          | Check the readme for usage                                                                                                                                                                                                                                                                                                                                                                                                                                                       
command.ExtraUtilities.xu_killitems                             | /xu_killitems                          | OP                 | /xu_killitems                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
command.ExtraUtilities.xu_killliving                            | /xu_killliving                         | OP                 | /xu_killliving                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
command.ExtraUtilities.xu_killmobs                              | /xu_killmobs                           | OP                 | /xu_killmobs                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.ExtraUtilities.xu_killxp                                | /xu_killxp                             | OP                 | /xu_killxp                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
command.Forestry.forestry                                       | /forestry                              | ALL                | /forestry help                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
command.forge                                                   | /forge                                 | OP                 | Use /forge <subcommand>. Subcommands are tps, track                                                                                                                                                                                                                                                                                                                                                                                                                              
command.GalacticraftAmunRa.mothership_force_arrival             | /mothership_force_arrival              | OP                 | /mothership_force_arrival                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.GalacticraftAmunRa.mothership_info                      | /mothership_info                       | OP                 | /mothership_info <name>                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.GalacticraftAmunRa.mothership_move                      | /mothership_move                       | OP                 | /mothership_move <name> [<travel time>]                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.GalacticraftAmunRa.shuttle_tp                           | /shuttle_tp                            | OP                 | /shuttle_tp [<player>]                                                                                                                                                                                                                                                                                                                                                                                                                                                           
command.GalacticraftCore.dimensiontp                            | /dimensiontp                           | OP                 | /dimensiontp [<player>]                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.GalacticraftCore.gcastrominer                           | /gcastrominer                          | OP                 | /gcastrominer [show|reset|set<number>] <playername>                                                                                                                                                                                                                                                                                                                                                                                                                              
command.GalacticraftCore.gcenergyunits                          | /gcenergyunits                         | ALL                | /gcenergyunits [gJ|EU|RF]                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.GalacticraftCore.gchelp                                 | /gchelp                                | ALL                | /gchelp                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
command.GalacticraftCore.gcinv                                  | /gcinv                                 | OP                 | /gcinv [save|restore|drop|clear] <playername>                                                                                                                                                                                                                                                                                                                                                                                                                                    
command.GalacticraftCore.gckeeploaded                           | /gckeeploaded                          | Strong OP          | /gckeeploaded <dimension id>                                                                                                                                                                                                                                                                                                                                                                                                                                                     
command.GalacticraftCore.joinrace                               | /joinrace                              | ALL                | /joinrace                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.GalacticraftCore.ssinvite                               | /ssinvite                              | ALL                | /ssinvite [ <player> | +all | -all ]                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.GalacticraftCore.ssnewowner                             | /ssnewowner                            | OP                 | /ssnewowner <dim#> <player>                                                                                                                                                                                                                                                                                                                                                                                                                                                      
command.GalacticraftCore.ssuninvite                             | /ssuninvite                            | ALL                | /ssuninvite <player>                                                                                                                                                                                                                                                                                                                                                                                                                                                             
command.gamemode                                                | /gamemode                              | OP                 | /gamemode <mode> [player]                                                                                                                                                                                                                                                                                                                                                                                                                                                        
command.gamerule                                                | /gamerule                              | OP                 | /gamerule <rule name> <value> OR /gamerule <rule name>                                                                                                                                                                                                                                                                                                                                                                                                                           
